type,year,quarter,category,count,amount,brand,percentage
user,,,,407778,,Realme,0.0530762039954298
user,,,,326534,,Apple,0.0425015209144281
user,,,,151138,,Motorola,0.0196720551855697
user,,,,142338,,OnePlus,0.0185266510804935
user,,,,133152,,Huawei,0.0173310053862628
user,,,,83928,,Lenovo,0.0109240313330499
user,,,,619595,,Others,0.0806462109641725
user,,,,2075024,,Xiaomi,0.2470614905720044
user,,,,1655037,,Samsung,0.197055989796657
user,,,,1573430,,Vivo,0.1873395011868339
user,,,,1092131,,Oppo,0.1300339238292635
user,,,,459785,,Realme,0.0547440258245924
user,,,,348330,,Apple,0.0414737029600362
user,,,,158324,,Motorola,0.0188507522965141
user,,,,149108,,OnePlus,0.0177534547726727
user,,,,142260,,Huawei,0.0169381017514849
user,,,,87838,,Lenovo,0.0104583788953109
user,,,,657549,,Others,0.0782906781146294
user,,,,2236661,,Xiaomi,0.2449827067693055
